Sales,"Clarinet Institute Music Archives"
"Date Pulled","Aug 19, 2024"
"Report Range","Jul 20, 2020","Aug 19, 2024"
Grouping,day

"Key Stats"
,Count,Trend
Sales,96475.03999999963,-45
Orders,2610,-54
"Conversion Rate",0.7,-
"Average Order Value",32.854297,6
"Sales Per Visit",0.26,-
"Units Sold",3798,-54

Comparison
,Sales,Orders
2022-06-26,0,0
2022-06-27,0,0
2022-06-28,110.8,3
2022-06-29,16.95,1
2022-06-30,67.8,2
2022-07-01,16.95,1
2022-07-02,65.85,2
2022-07-03,16.95,1
2022-07-04,0,0
2022-07-05,16.39,1
2022-07-06,137.85,3
2022-07-07,45.95,1
2022-07-08,45.95,1
2022-07-09,18.35,1
2022-07-10,0,0
2022-07-11,0,0
2022-07-12,0,0
2022-07-13,225.9,4
2022-07-14,0,0
2022-07-15,108.85,3
2022-07-16,0,0
2022-07-17,0,0
2022-07-18,0,0
2022-07-19,155.75,4
2022-07-20,33.9,2
2022-07-21,0,0
2022-07-22,47.9,1
2022-07-23,18.35,1
2022-07-24,30.95,1
2022-07-25,54.65,1
2022-07-26,0,0
2022-07-27,36.7,1
2022-07-28,0,0
2022-07-29,30.95,1
2022-07-30,0,0
2022-07-31,0,0
2022-08-01,61.95,1
2022-08-02,0,0
2022-08-03,64.3,2
2022-08-04,33.9,1
2022-08-05,0,0
2022-08-06,0,0
2022-08-07,169.85,2
2022-08-08,0,0
2022-08-09,224.6,3
2022-08-10,78.9,2
2022-08-11,0,0
2022-08-12,18.35,1
2022-08-13,0,0
2022-08-14,0,0
2022-08-15,18.35,1
2022-08-16,61.95,1
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,61.95,1
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,328.6,7
2022-08-24,0,0
2022-08-25,67.8,2
2022-08-26,0,0
2022-08-27,30.95,1
2022-08-28,0,0
2022-08-29,16.95,1
2022-08-30,45.95,1
2022-08-31,0,0
2022-09-01,0,0
2022-09-02,16.95,1
2022-09-03,16.95,1
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,140.85,2
2022-09-07,126.65,3
2022-09-08,5,1
2022-09-09,0,0
2022-09-10,36.7,1
2022-09-11,30.95,1
2022-09-12,0,0
2022-09-13,16.95,1
2022-09-14,193.5,5
2022-09-15,0,0
2022-09-16,0,0
2022-09-17,0,0
2022-09-18,0,0
2022-09-19,0,0
2022-09-20,251.14,3
2022-09-21,0,0
2022-09-22,0,0
2022-09-23,127.25,2
2022-09-24,0,0
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,91.9,2
2022-09-28,16.95,1
2022-09-29,0,0
2022-09-30,0,0
2022-10-01,0,0
2022-10-02,0,0
2022-10-03,0,0
2022-10-04,127.2,3
2022-10-05,79.85,1
2022-10-06,0,0
2022-10-07,30.95,1
2022-10-08,16.95,1
2022-10-09,16.95,1
2022-10-10,0,0
2022-10-11,180.65,4
2022-10-12,93.3,2
2022-10-13,47.35,1
2022-10-14,0,0
2022-10-15,45.95,1
2022-10-16,47.9,1
2022-10-17,0,0
2022-10-18,86.8,3
2022-10-19,0,0
2022-10-20,0,0
2022-10-21,176.4,2
2022-10-22,0,0
2022-10-23,0,0
2022-10-24,108.85,2
2022-10-25,0,0
2022-10-26,30.95,1
2022-10-27,16.35,1
2022-10-28,107.9,1
2022-10-29,16.95,1
2022-10-30,84.75,1
2022-10-31,0,0
2022-11-01,0,0
2022-11-02,48.9,2
2022-11-03,6.95,1
2022-11-04,100.9,2
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,76.9,1
2022-11-08,174.15,3
2022-11-09,0,0
2022-11-10,0,0
2022-11-11,64.85,2
2022-11-12,0,0
2022-11-13,0,0
2022-11-14,0,0
2022-11-15,137.85,3
2022-11-16,35.3,2
2022-11-17,75.95,2
2022-11-18,16.95,1
2022-11-19,0,0
2022-11-20,0,0
2022-11-21,0,0
2022-11-22,64.85,2
2022-11-23,0,0
